Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Demand per subperiod [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Wind per subperiod [MW],,,,,,
,,,1.sc00,2.sc00,3.sc00,4.sc00,6.sc00,7.sc00,11.sc00,12.sc00,13.sc00,14.sc00,15.sc00,16.sc00,17.sc00,18.sc00,19.sc00,20.sc00,21.sc00,22.sc00,23.sc00,27.sc00,28.sc00,29.sc00,31.sc00,32.sc00,33.sc00,34.sc00,35.sc00,36.sc00,39.sc00,40.sc00,41.sc00,42.sc00,43.sc00,44.sc00,45.sc00,46.sc00,47.sc00,48.sc00,49.sc00,50.sc00,51.sc00,52.sc00,53.sc00,54.sc00,55.sc00,56.sc00,57.sc00,58.sc00,59.sc00,60.sc00,62.sc00,66.sc00,67.sc00,70.sc00,74.sc00,75.sc00,76.sc00,77.sc00,78.sc00,79.sc00,80.sc00,82.sc00,83.sc00,84.sc00,85.sc00,86.sc00,88.sc00,90.sc00,92.sc00,93.sc00,94.sc00,95.sc00,96.sc00,97.sc00,98.sc00,100.sc00,101.sc00,102.sc00,103.sc00,104.sc00,105.sc00,106.sc00,107.sc00,108.sc00,109.sc00,110.sc00,112.sc00,114.sc00,115.sc00,117.sc00,118.sc00,,,,,Wind01.sc01,,Wind02.sc01,,Wind03.sc01
,,sp001,50.22224327,19.69372414,38.40415352,29.54522439,51.20553803,18.71042938,68.93267266,46.2797879,33.47840339,13.78467926,88.62639679,24.61947426,10.834795,59.08117241,44.3131984,17.72713463,13.78467926,9.851500251,6.892339629,61.05703828,16.74383988,23.63617951,42.34660889,58.09787765,22.65288476,58.09787765,32.49510864,30.52851914,25.04618708,18.55273117,34.32255266,34.32255266,16.69745805,14.84218493,49.1647376,25.97382364,31.53964299,18.55273117,80.70438058,15.76982149,15.76982149,16.69745805,21.33564084,104.8229311,58.44110318,77.92147091,11.1316387,11.1316387,256.9553267,72.35565156,71.428015,36.17782578,25.97382364,61.22401286,63.07928597,43.59891825,63.07928597,56.58583006,65.86219565,36.17782578,120.5927526,50.09237416,18.55273117,10.20400214,22.2632774,19.48036773,44.5265548,72.35565156,60.2963763,11.1316387,27.82909675,38.96073545,35.25018922,13.91454838,31.53964299,34.32255266,20.40800429,4.638182792,21.33564084,35.25018922,28.75673331,39.88837201,25.97382364,1.855273117,7.421092467,36.17782578,23.19091396,7.875634381,21.66031364,19.69372414,30.61200643,,,,sp001,292.1691046,,498.3072764,,481.2568252
,,sp002,50.07025686,19.63412547,38.28793192,29.45581236,51.05057589,18.65380644,68.72406331,46.13973245,33.37708848,13.742963,88.35818878,24.54496892,10.80200591,58.90237642,44.17909439,17.67348741,13.742963,9.821686884,6.871481501,60.87226278,16.69316839,23.56464989,42.21845633,57.92205739,22.58433086,57.92205739,32.39676945,30.43613139,24.97039038,18.49658547,34.21868312,34.21868312,16.64692692,14.79726837,49.01595149,25.89521966,31.4441953,18.49658547,80.46014679,15.72209765,15.72209765,16.64692692,21.27107329,104.5057079,58.26424422,77.68565897,11.09795128,11.09795128,256.1777087,72.13668333,71.21185405,36.06834166,25.89521966,61.03873205,62.88839059,43.46697585,62.88839059,56.41458568,65.66287841,36.06834166,120.2278055,49.94078076,18.49658547,10.17312201,22.19590256,19.42141474,44.39180512,72.13668333,60.11390277,11.09795128,27.7448782,38.84282948,35.14351239,13.8724391,31.4441953,34.21868312,20.34624402,4.624146367,21.27107329,35.14351239,28.66970748,39.76765876,25.89521966,1.849658547,7.398634187,36.06834166,23.12073184,7.851800531,21.59476353,19.63412547,30.51936602,,,,sp002,292.1691046,,498.3072764,,481.2568252
,,sp003,49.90792842,19.57047138,38.16380194,29.36031622,50.88506925,18.59333056,68.50125898,45.99014682,33.26887951,13.69840813,88.07173036,24.4653938,10.76698567,58.71141414,44.03586518,17.61618973,13.69840813,9.789844844,6.849204067,60.67491409,16.63904891,23.48825298,42.08158353,57.73427331,22.51111216,57.73427331,32.29173869,30.33745705,24.88943604,18.43661929,34.10774569,34.10774569,16.59295736,14.74929543,48.85704112,25.81126701,31.3422528,18.43661929,80.19929392,15.6711264,15.6711264,16.59295736,21.20211219,104.166899,58.07535077,77.43380103,11.06197158,11.06197158,255.3471772,71.90281524,70.98098428,35.95140762,25.81126701,60.84084366,62.68450559,43.32605534,62.68450559,56.23168884,65.44999849,35.95140762,119.8380254,49.77887209,18.43661929,10.14014061,22.12394315,19.35845026,44.2478863,71.90281524,59.9190127,11.06197158,27.65492894,38.71690051,35.02957666,13.82746447,31.3422528,34.10774569,20.28028122,4.609154823,21.20211219,35.02957666,28.5767599,39.63873148,25.81126701,1.843661929,7.374647717,35.95140762,23.04577412,7.82634489,21.52475302,19.57047138,30.42042183,,,,sp003,292.1691046,,498.3072764,,481.2568252
,,sp004,49.73578237,19.50296749,38.03216458,29.25904449,50.70955277,18.52919709,68.26497946,45.83151427,33.15412608,13.65115859,87.76794695,24.38100599,10.7298474,58.50890246,43.88397347,17.55542669,13.65115859,9.756077,6.825579295,60.46562977,16.58165629,23.40723559,41.93643268,57.53513206,22.43346519,57.53513206,32.18035568,30.23281488,24.80358559,18.37302637,33.99009878,33.99009878,16.53572373,14.69842109,48.68851987,25.72223691,31.23414482,18.37302637,79.92266469,15.61707241,15.61707241,16.53572373,21.12898032,103.807599,57.87503305,77.16671073,11.02381582,11.02381582,254.4664152,71.65480282,70.73615151,35.82740141,25.72223691,60.630987,62.46828964,43.17661196,62.46828964,56.03773041,65.2242436,35.82740141,119.4246714,49.60717119,18.37302637,10.1051645,22.04763164,19.29167768,44.09526328,71.65480282,59.71233569,11.02381582,27.55953955,38.58335537,34.90875009,13.77976977,31.23414482,33.99009878,20.210329,4.593256591,21.12898032,34.90875009,28.47819087,39.50200668,25.72223691,1.837302637,7.349210546,35.82740141,22.96628296,7.799349692,21.45050828,19.50296749,30.3154935,,,,sp004,292.1691046,,498.3072764,,481.2568252
,,sp005,49.55434311,19.43181944,37.89342085,29.15230565,50.52456113,18.46160141,68.01594453,45.66431802,33.03317774,13.6013583,87.44776396,24.29206254,10.69070424,58.29545831,43.72388198,17.49138339,13.6013583,9.720486218,6.800679152,60.24504735,16.52116537,23.32184452,41.78344594,57.32524029,22.3516265,57.32524029,32.06295972,30.12252368,24.71310055,18.30600041,33.86610076,33.86610076,16.47540037,14.64480033,48.51090109,25.62840057,31.1202007,18.30600041,79.63110179,15.56010035,15.56010035,16.47540037,21.05190047,103.4289023,57.66390129,76.88520172,10.98360025,10.98360025,253.5381057,71.3934016,70.47810158,35.6967008,25.62840057,60.40980135,62.2404014,43.01910096,62.2404014,55.83330125,64.98630146,35.6967008,118.9890027,49.42620111,18.30600041,10.06830023,21.96720049,19.22130043,43.93440099,71.3934016,59.49450133,10.98360025,27.45900062,38.44260086,34.78140078,13.72950031,31.1202007,33.86610076,20.13660045,4.576500103,21.05190047,34.78140078,28.37430064,39.35790088,25.62840057,1.830600041,7.322400164,35.6967008,22.88250051,7.770897174,21.37225548,19.43181944,30.20490068,,,,sp005,292.1691046,,498.3072764,,481.2568252
,,sp006,49.36413506,19.35723286,37.74797177,29.04040823,50.33062902,18.3907389,67.75487396,45.48904134,32.90638408,13.54915122,87.11210682,24.19882055,10.64966933,58.07169859,43.55605341,17.42424494,13.54915122,9.683175366,6.774575609,60.01380439,16.45775098,23.23232658,41.62306549,57.10520463,22.26583262,57.10520463,31.93989012,30.00690219,24.61824246,18.23573515,33.73611003,33.73611003,16.41216164,14.58858812,48.32469815,25.53002921,31.00074976,18.23573515,79.32544791,15.50037488,15.50037488,16.41216164,20.97109543,103.0319036,57.44256573,76.59008764,10.94144109,10.94144109,252.5649319,71.1193671,70.20758034,35.55968355,25.53002921,60.177926,62.00149952,42.85397761,62.00149952,55.61899222,64.73685979,35.55968355,118.5322785,49.23648491,18.23573515,10.02965433,21.88288218,19.14752191,43.76576437,71.1193671,59.26613925,10.94144109,27.35360273,38.29504382,34.64789679,13.67680136,31.00074976,33.73611003,20.05930867,4.558933788,20.97109543,34.64789679,28.26538949,39.20683058,25.53002921,1.823573515,7.294294061,35.55968355,22.79466894,7.741069572,21.29022079,19.35723286,30.088963,,,,sp006,292.1691046,,498.3072764,,481.2568252
,,sp007,49.16568262,19.27941341,37.59621833,28.92366072,50.12829111,18.31680492,67.48248754,45.30616746,32.77409468,13.49468127,86.76190096,24.10153707,10.6068558,57.83824023,43.38095048,17.35419643,13.49468127,9.644247312,6.747340633,59.77253842,16.39158794,23.13892858,41.4557335,56.87563174,22.17632009,56.87563174,31.81148619,29.88626921,24.51927283,18.16242432,33.60048498,33.60048498,16.34618188,14.52993945,48.13042444,25.42739404,30.87612134,18.16242432,79.00654577,15.43806067,15.43806067,16.34618188,20.88678796,102.6176974,57.21163659,76.28218213,10.89745459,10.89745459,251.5495768,70.83345483,69.92533362,35.41672742,25.42739404,59.93600024,61.75224267,42.68169714,61.75224267,55.39539416,64.47660632,35.41672742,118.0557581,49.03854565,18.16242432,9.989333374,21.79490918,19.07054553,43.58981836,70.83345483,59.02787903,10.89745459,27.24363647,38.14109106,34.5086062,13.62181824,30.87612134,33.60048498,19.97866675,4.540606079,20.88678796,34.5086062,28.15175769,39.04921228,25.42739404,1.816242432,7.264969726,35.41672742,22.70303039,7.709949122,21.20463039,19.27941341,29.96800012,,,,sp007,292.1691046,,498.3072764,,481.2568252
